3.683	3.261	3.683	3.557	5.259	5.257	4.633	4.192
5.151	7.777	5.418	8.908	7.400	7.454	4.358	4.191
10.28	8.897	6.097	10.330	9.336	9.462	11.13	13.26
21.29	22.02	14.86	19.219	19.220	19.155	18.46	16.95
88.12	86.490	99.25	90.23	89.90	90.78	94.98	96.76
0.194	0.070	0.131	0.117	0.285	0.197	0.9802	0.9841
0.597	0.752	0.696	0.703	0.522	0.620	-0.1752	-0.1853
-0.226	-0.257	-0.263	-0.303	-0.299	-0.326	-0.2045	-0.1742
-0.565	-0.565	-0.564	-0.517	-0.508	-0.491	-0.6005	-0.6245
0.375	0.384	0.486	0.453	0.496	0.577	0.5296	0.5996
1.014	1.078	1.265	0.901	1.021	1.114	0.9088	1.126
-0.723	-0.723	-0.997	-0.798	-0.921	-1.099	-0.8022	-0.7527
-0.666	-0.739	-0.754	-0.556	-0.596	-0.592	-0.6362	-0.9729
5.571	4.773	7.919	6.456	7.424	8.710	5.831	5.349
3.26	2.65	3.87	2.71	3.29	3.70	5.33	4.514
7.0		5.5		22.0	1.4		16.0	28.0	0.0		0.0
2.66	2.79	1.62	2.17	1.66	1.28	1.69	2.328
5.439	5.456	1.762	5.601	15.890	20.954	6.58	4.73
1.880	5.447	1.872	7.169	6.828	8.384	2.68	7.68
89.778	96.817	99.977	459.095	1029.64	477.332	106.09	123.49
66.061	74.492	33.264	3.758	9.871	6.773	4.821	6.211
0.58	0.39	0.36	0.85	0.73	0.39	0.58	0.58
